ChapterID,SegmentLabel,SegmentType,Status,SourcePath,RawContent
1,segment_001,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_001\segment_001\segment.txt,"ቃለ፡ረት፡ዘሄኖ።
መትጽሐፉ፡ሄኖ፡ ነቢይ። -
ቃለ ፡ ረት ፡ ዘሄኖ
— -——— ።። ።።——— - —
መ ፡ ረ ፡ ኅሩያነ ፡ ወጻድቃነ
፨ እለ ፡ ሀለው ፡ ይኩኑ ፡ ዕለተ
፡ መንዳቢ ፨ ለሰስሎ ፡ ሎ ፡
እኩያን ፡ ወረሲዓን ፨፨
ወውሥ ፡ እንሄኖ ፡ ወይቢ
፡ ብእሲ ፡ ጸድቅ ፡ ዘእምኀ ፡
እግዚእብሒር ። እንዘ ፡
ዕይንቲሁ ፡ ሡታት ። ወይሬኢ
፡ራእየ ፡ ቅዱስ ፡ ዘባሰማያት ።
ዘርዩኒ ፡ መለእት ።።
ወሰማዕኩ ፡ ኀቢሀሙ ፡ ሎ ።
ወእመርኩ ፡ ነ ፡ እርይወ
፡ ለዝ ፡ ትውልድለ ፡
ለዘይመጽእ ። ርሕቅተ ፡ እንተ ፡
ኅሩያን ። እቢ ።።
ወውሣእኩ ፡ እንቲሆሙ ፡
ወምስል ፡ ይወፅእ ፡ ቅዱስ ፡
ወዐቢይ ፡ እማንደሩምለ ፡
ወእምህየ ፡ ይይድ ፡ ዱ ፡ ሲና
፡ ደብር ፡ ወያስትሪኢ ፡
ትዕይንቱ ። ወያስተርኢ ፡
ኃይለ ፡ ጽንዐእምሰማይ ።።
ወይፈርህ ፡ ሎ ፡ ወያደለቃልቂ
፡ ትጉሃን ፡
ወይንሥሙ ። ርሃተ ፡ ወረዓድ
፡ ዐቢየ ። እስ ፡ ጽናፈ ፡
ምድር ። ወይደነግዙ ፡ ድር ፡
ነዋኀት ። ወይትመሠዉ ፡ መ ፡
ማዓረ ፡ ግራ ፡ እም ፡ ለህብ ።
ወተሰጠ ፡ ምድር ። ወሎ ፡
ዘውስተ ፡ ምድር ፡ ይትሐጐል
።።
ወይውን ፡ ፍትሐ ፡ ለዕለ ፡
ሎው ፡ ወለዕለ ፡ ጸድቃን ፡
ሎው ፡ ለጻድቃን ፡ ሰለመ ፡
ይገብር ፡ ወየዐቅው ፡ ለኅሩየን
። ወይውን ፡ ሣህለ ፡
ለዕሊሆሙ ፡ ወይውኑ ፡ ሎሙ
፡ ዘምለ ፡ ወይሲርሑ ፡
ወይትረኩ ፡ ወይርህ ፡ ሎሙ ፡
ብርሃነ ፡ ምለ ።። ዐናሁ ፡
ይመጽእ ፡ ገትእልፊት ፡ ቅዱሳን ፡
መ ፡ ይግር ፡ ፍትሐ ፡
ለዕሊሆሙ ፡ ወየሐጕሎሙ ፡
ለረሲዓን ።።
ወይዘልፍ ፡ ሎ ፡ ባሥገ ፡
ባእንተ ፡ ሉ ፡ ዘገብሩ ፡ ወረሰዩ
፡ ለዕሊሆሙ ፡ ኃጥን ፡ ወረሲዓን
። ወጠየቁ ፡ ሎ ፡ ዘውስተ ፡
ሰማይ ፡ ግብረ ። ወእፎ ፡
ይመይጡ ፡ ፍናቂሆሙ ፡ ብርሃናት
፡ ዘውስተ ፡ ሰማይ ፡ መ ፡ ሉ
፡ ይሠርቅ ፡ ወየዐርብ ፡ ሥረዕ ፡
ሎ ፡  ፡ ዘመኑ ፡
ወኢይትዐደዉ ፡ እምሥርዓቶሙ
።። ርእይዋ ፡ ለምድር ፡
ወለብዉ ፡ እንተ ፡ ምግር ፡
ዘይትገር ፡ ብለሙ ፡
ብለሙ ፡ ወቀትለ ፡ ፍቁራኒሆሙ
፡ ወይርዩ ፡ ወዲ ፡ ሐጕለ ፡
ውሉዶሙ ፡ ወይግዕሩ ፡ ወስእሉ ፡
ለዓለም ፡ ወይውን ፡ ምሕረተ
፡ ወሰለመ ።
ወሂኖ ፡ ኀሊፎ ፡ ይቢሎ ፡
ላዛዝኤል ፡ ኢይውነ ፡ ሰለመ
፡ ዐቢይ ፡ ነኒ ፡ ወፅ  ፡ ለዕሊ
፡ ይእስር ።
ወሣንተ ፡ ወስእለተ ፡ ኢይውነ
፡ እንተ ፡ ዘመሀር ፡ ግፍዐ ፡
ወእንተ ፡ ሉ ፡ ምግባራ ፡
ፅርፈት ፡ ወግፍዕ ፡ ወኃጢት ፡
ዘርይ ፡ ለሰብእ ፡ ሜሃ ፡
ሐዊርየ ፡ ነገርዎሙ ፡ ለሎሙ
፡ ኅቡረ ፡ ወእሙንቱ ፡ ፈርሁ ፡
ሎሙ ፡ ወፍርሃት ፡ ወረዓድ ፡
ነሥኦሙ ፡ ወተስሉኒ ፡ መ ፡
እጽሐፍ ፡ ሎሙ ፡ ተዝረ ፡
ስእለት ፡ ወመ ፡ ይኖሙ ፡
ኅድገተ ። ወመ ፡ ነ ፡ ዐርግ
፡ ተዝረ ፡ ስእለቶሙ ፡ ቅድመ ፡
እግዝ ፡ ሰማይ ።።
እስመ ፡ እሙንቱሰ ፡ ኢይሉ ፡
እምይእዜ ፡ ተናግሮ ፡
ወኢያነሥኡ ፡ ዕይቲሆሙ ፡
ወስተ ፡ ሰማይ ፡ እምኀፍረተ ፡
ሰሆሙ ፡ ዘተ—ነኑ ።።
ወሚሃ ፡ ጸሐፍኩ ፡ ተዝረ ፡
ስእለቶሙ ፡ ወስተብቍዐተ ፡
እንተ ፡ ወንፈሶሙ ፡ ወለለ ፡
፬መግሮሙ ፡ ወኦንተ ፡
ዘይስእሉ ፡ መ ፡ ይኖሙ ፡
ስርየተ ፡ ወኑኀተ ።።
ወሐዊርየ ፡ ነርኩ ፡ ዲ ፡ ማያት
፡ ዳን ፡ ዳን ፡ እንተ ፡ ይእቲ ፡
እምየማነ ፡ ዐረ ፡ ርምን ፡
ወነብብ ፡ ተዝረ ፡ ስእለቶሙ ፡
እስመ ፡ ደቀሱኩ ።።
ወድኅሬሁ ፡ ሕልመ ፡ መጽኒ ፡
ወራእያተ ፡ ዲቤየ ፡ ወደቂ ፡
ወርኢኩ ፡ ራእየ ፡ ምቅሠፍተ ፡
እነግር ፡ ለውሉደ ፡ ሰማይ ፡
ወእዝልፎሙ ፡ ወነቁህየ ፡ መጸእኩ
፡ ኀቤሆሙ ፡ ወሎሙ ፡ ጉቡነ
፡ ይነብሩ ፡ እንዘ ፡ ይለሕዉ ፡
ኡብልስያኤል ፡ ዘሀለወት ፡
ማእለ ፡ ሊኖስ ፡ ወሴሴር ፡
እንዘ ፡ ግልቡን ፡ ገጸሙ ፡
ወተናገርኩ ፡ ቅድማሆሙ ፡ ሎ
፡ ራእየተ ፡ ዘርኢኩ ፡ ንዋም ፡
ወጠንኩ ፡ እትናገሮ ፡ ውእቱ ፡
ቃለ ፡ ጽድቅ ፡ ወእዝልፍ ፡
ለትጉሃነ ፡ ስማይ ። ዝመጽሐፍ ፡
ቃለ ፡ ጽድቅ ፡ ወዘለፍ ፡ ትጉሃን ፡
እለ ፡ እምሃለመ ፡ መ ፡ ዘዘ ፡
ቅዲስ ፡ ወዐቢይ ።
ይእቲ ፡ ራእይ ፡ ነ ፡ ርኢኩ ፡
ንዋምየ ፡ ዘነ ፡ ይእዚ ፡ እነግር
፡ ልሳን ፡ ዘሥገ ፡ ወመንፈስየ
፡ ዘወህኒ ፡ ዐቢይ ፡ ፈ ፡
ዘወሀቦኒ ፡ ለስብእ ፡ ይትናገሩ ፡
ቦቱ ፡ ወይሌ
ስመ፡እግዚብሔር፡መሐሪ፡
ወመስተሣህል፡ርሑቀ፡መዓት፡
ወብዙኃ፡ምሕረት፡ወጸድቅ፡
እጽሐፍ፡ንስ፡መጽሐፈ፡ሄኖ፡
ነቢይ፡ረቱ፡ወሀብተ፡ረድኤቱ፡
የሀሉ፡ምስለ፡ገብሩ፡ወልደ፡
ጊዮርጊስ፡ ለዓለመ፡ዓለም፡
ሜን፡
ቃለ፡ረት፡ዘሄኖ፡ዘመ፡
ባረ፡ኅሩያነ፡ወጻድቃነ፡እለ፡
ሀለዉ፡ይኩኑ፡ዕለተ፡ምንዳቤ፡
ለሰስሎ፡ሉ፡እኩያን፡
ወረሲዓን፨"
1,segment_002,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_001\segment_002\segment.txt,"ወውሥ፡ወይቤ፡ሄኖ፡
ብእሲ፡ጻድቅ፡ዘእምኀ፡
እግዚብሔር፡እንዘ፡ዕይንቲሁ፡
ሡታት።ወይሬኢ፡ራእየ፡
ቅዱሰ፡ዘሰማያት፡ዘርዩኒ፡
መላእት፨ወሰማዕኩ፡
እምኀቤሆሙ፡
ሎ።ወእመርኩ፡ነ፡ዘእሬኢ፡
ወ፡ለዝ፡ትውልድ፡ላ፡ለዘ፡
ይመጽእ፡እምርሑቃት፡እንተ፡
ኅሩያን፨፨"
1,segment_003,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_001\segment_003\segment.txt,"እንተ፡ኅሩያን፨እቤ፡ወውሣእ
ኩ፡እንቲሆሙ፡ምስለ፡ዘይወጽ
እ፡ቅዱስ፡ወዓቢይ፡እማኅደሩ፡ወ
ምላ፡ዓለም።"
1,segment_004,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_001\segment_004\segment.txt,"ወእምህየ፡ይይድ፡ዲ፡ሲና፡
ደብር፡ወያስተርኢ፡ትዕይንቱ፡
ወያስተርኢ፡ጽንዓ፡ኃይሉ፡
እምሰማይ፨"
1,segment_005,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_001\segment_005\segment.txt,"Chapter 1 Segment 5

ወይፈርህ፡ሉ፡ወያድለቀልቁ፡
ትጉሃን፨ወይነሥኦሙ፡ፍርሀት፡
ወረዓድ፡ዓቢይ፡እስ፡ጽናፈ፡
ምድር፡"
1,segment_006,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_001\segment_006\segment.txt,"Chapter 1 Segment 6

ወይደነግፁ፡ድባር፡ነዋኃን፡
ወይቴሐቱ፡ውግር፡
ነዋኃት፨ወይትመሰዉ፡መ፡
መዓረ፡ግራ፡እምላህብ፨"
1,segment_007,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_001\segment_007\segment.txt,"ወትሠጠም፡ምድር፡ወሉ፡
ዘውስተ፡ምድር፡ይትኃጐል፡
ወይውን፡ፍትሕ፡ላዕለ፡ሉ፡
ወላዕለ፡ጻድቃን፡ሎሙ፨"
1,segment_008,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_001\segment_008\segment.txt,"Chapter 1 Segment 8

ለጻድቃንሰ፡ሰላመ፡ይገብር፡ሎሙ
፤ ወየዐቅቦሙ፡ለኅሩያን፡
ወይውን፡ሣህል፡
ላዕሌሆሙ፨ወይውኑ፡ሎሙ፡
ዘምላ፡ወይሤርሑ፡
ወይትባረኩ፡ወይሀርህ፡ሎሙ፡
ብርሃነ፡ምላ።"
1,segment_009,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_001\segment_009\segment.txt,"ወናሁ፡መጽ፡ትእልፈት፡
ቅዱሳን፡መ፡ይግር፡ፍትሐ፡
ላዕሌሆሙ፨ወያሐጕሎሙ፡
ለረሲዓን፡ወይዘለፍ፡ሎ፡
ዘሥጋ፡እንተ፡ሉ፡ዘገብሩ፡
ወረሰዩ፡ላዕሌሁ፡ኃጥን፡
ወረሲዓን።።"
2,segment_001,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_002\segment_001\segment.txt,"ጠየቁ፡ሎ፡ዘውስተ፡ሰማይ፡
ግብረ፡እፎ፡ኢይመይጡ፡
ፍናዊሆሙ፡ብርሃናት፡ዘውስተ፡
ሰማይ፡መ፡ሉ፡ይሠርቅ፡
ወየዐርብ፨፨ሥሩዕ፡ሉ፡
ዘመኑ፡ወኢይትዐደዉ፡
እምሥርዓቶሙ፨"
2,segment_002,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_002\segment_002\segment.txt,"ርእይዋ፡ለምድር፡ወለብዉ፡
እንተ፡ምግባር፡ዘይትገር፡
ላዕሌሃ፡እምቀዳሚ፡እስ፡
ተፍጻሜቱ፨መ፡እይትመየጥ፡
ሉ፡ምግብሩ፡ለምላ፡እንዘ፡
ያስተርኢ።"
2,segment_003,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_002\segment_003\segment.txt,"ርእይዎ፡ለሐጋይ፡ወለረምት፡
መ፡ላ፡ምድር፡መልት፡ማየ፡
ወደመና፡ወጠል፡ወዝናም፡
የዓርፍ፡ላዕሌሃ፨"
3,segment_001,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_003\segment_001\segment.txt,"ጠየቁ፡ወርኢኩ፡መ፡ሉ፡
ዐፀው፡እፎ፡ያስተረእዩ፡መ፡
ይቡስን፡ወሉ፡ቍጽሊሆሙ፡
ንጉፋት፡ዘእንለ፡፲ወ፬ዕፀው፡
ዘኢይትነገፍ፡እለ፡ይጸንሑ፡
እምብሉይ፡እስ፡ይመጽእ፡
ሐዲስ፡እምልኤ፡ወእምሠለስቱ፡
ረምት፨"
4,segment_001,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_004\segment_001\segment.txt,"Chapter 4 Segment 1

ወዳግመ፡ጠየቁ፡መዋዕለ፡ሐጋይ፡
መ፡ነ፡ላእሌሃ፡ፀሐይ፡
ቅድሜሃ፨ወንትሙሰ፡
ተኀሥሡ፡ምጽላለ፡ወጽላሎተ፡
እንተ፡ዋዕየ፡ፀሐይ፨ወምድርስ፡
ትውዒ፡እሙቀተ፡ሐሩር፡
ወንትሙሰ፡ኢትሉ፡ዪዶታ፡
ለምድር፡ወኢ—ሐ፡እንተ፡
ዋዐያ፨"
5,segment_001,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_005\segment_001\segment.txt,"```json
{
  ""graphic_chain"": ""ጠየቁ፡እፎ፡ዕፀው፡ሐመልማለ፡\nቍጽል፡ይትደኑ፡ወይፈርዩ፡\nወለብው፡እንተ፡ሉ፡\nወእምሩ፡መ፡ገብረ፡ለሙ፡\nእሎንተ፡ሎሙ፡ዘሕያው፡\nለዓለም፨"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [
    ""Chapter 5 Segment 1"",
    ""Blank line header""
  ]
}
```"
5,segment_002,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_005\segment_002\segment.txt,"```json
{
  ""graphic_chain"": ""ወምግባሩ፡ቅድሜሁ፡ለለዓመት ፡\nዘይውን፡ወሉ፡ምግባሩ፡\nይትቀነዩ፡ሎቱ፡ወኢይትመየጥ፡\nላ፡መ፡ሠርዐ፡ምላ፡\nመዝ፡ይትገር፡ሉ፨፨"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [""Chapter 5 Segment 2""]
}
```"
5,segment_003,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_005\segment_003\segment.txt,"```json
{
  ""graphic_chain"": ""ወርእዩ፡እፎ፡ብሕርት፡\nወፍላግ፡ኅቡረ፡ይፌጽሙ፡\nግብሮሙ፨"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [""Chapter 5 Segment 3""]
}
```"
5,segment_004,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_005\segment_004\segment.txt,"```json
{
  ""graphic_chain"": ""ወንትሙሰ፡ኢተዐገሥሙ፡\nወኢገርሙ፡ትእዛዘ፡\nእግዚእ፨እላ፡ተዐደውሙ፡\nወሐመይሙ፡ዐቢያተ፡\nወድሩተ፡ቃላተ፡ፍ፡ርኩስት፡\nዘዚሙ፡ላዕለ፡ዕየ፡\nዚሁ፨ይቡሳነ፡ልብ፡\nኢትውነሙ፡ሰላም፨"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [""Chapter 5 Segment 4""]
}
```"
5,segment_005,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_005\segment_005\segment.txt,"```json
{
  ""graphic_chain"": ""ወእንተዝ፡ንትሙ፡\nመዋዕሊሙ፡ትረግሙ፡\nወዓመታተ፡ሕይወትሙ፡\nተሐጕሉ፡ወይዝኅ፡መርገም፡\nዘለዓለም፡ወኢይውነሙ፡\nሣህል፨"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [""Chapter 5 Segment 5""]
}
```"
5,segment_006,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_005\segment_006\segment.txt,"```json
{
  ""graphic_chain"": ""ውእቱ፡መዋዕል፡ትሁቡ፡ሰላመ፡\nዚሙ፡ርግመት፡ዘለዓለም፡\nለሉ፡ጻድቃን ፤ ወያሙ፡\nይረግሙ፡ኃጥን፡\nዘልፈ፨ወለሙ፡ኅቡረ፡ምስለ፡\nኃጥን፨"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [""Chapter 5 Segment 6""]
}
```"
5,segment_007,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_005\segment_007\segment.txt,"```json
{
  ""graphic_chain"": ""ወለኅሩያንሰ፡ይውን፡ብርሃን፡\nወፍሥሓ፡ወሰላም፡ወእሙንቱሰ፡\nይወርስዋ፡ለምድር፨ወለሙሰ፡\nረሲዓን፡ይውነሙ፡ርግመት ፤"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [""Chapter 5 Segment 7""]
}
```"
5,segment_008,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_005\segment_008\segment.txt,"```json
{
  ""graphic_chain"": ""ወመሂ፡ይትወሀቦሙ፡ለኅሩያን፡\nጥብ፡ወሎሙ፡እሎንቱ፡\nየሐይዉ፡ወኢይደግሙ፡\nሳ፨ኢረሲዕ፡ወኢትዕቢት፡\nላ፡ይገንዩ፨ዘቦሙ፡ጥብ፡\nወኢይደግሙ፡ብሶ፨"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [""Chapter 5 Segment 8""]
}
```"
5,segment_009,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_005\segment_009\segment.txt,"```json
{
  ""graphic_chain"": ""ወኢይትነኑ፡ሎ፡መዋዕለ፡\nሕይወቶሙ፡ወኢይመውቱ፡\nመቅሠፍት፡ወኢመዓት፡ላ፡\nልቈ፡መዋዕለ፡ሕይወቶሙ፡\nይፌጽሙ፡ወይልህቅ፡\nሕይወቶሙ፡ሰላም፡ወዓመታተ፡\nፍሥሓሆሙ፡ይዝ፡ሐሤት፡\nወሰላም፡ውስተ፡ሉ፡መዋእለ፡\nሕይወቶሙ፨"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [
    ""Chapter 5 Segment 9"",
    ""Input Text:""
  ]
}
```"
6,segment_001,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_006\segment_001\segment.txt,"```json
{
  ""graphic_chain"": ""ወነ፡እምዘዝ፡ውሉደ፡ሰብእ፡\nእማንቱ፡መዋእል፡ተወልዳ፡\nሎሙ፡ዋልድ፡ሠናያት፡\nወላህያት፨"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [""Chapter 6 Segment 1""]
}
```"
6,segment_002,segment,DONE,C:\Users\sasch\visionexe\stories\template\filmsets\story_006\segment_002\segment.txt,"```json
{
  ""graphic_chain"": ""ወርእዩ፡ያሆን፡መላእት፡\nውሉደ፡ሰማያት፡\nወፈተውዎን፨ወይቤሉ፡\nይናቲሆሙ፡ንዑ፡ንኅረይ፡ለነ፡\nንስተ፡እምውሉደ፡ሰብእ፡\nወንወለድ፡ለነ፡ውሉደ፨"",
  ""uncertainties"": [],
  ""artifacts_removed_log"": [""Chapter 6 Segment 2""]
}
```"
