chapter,verse_count,char_count,byte_count,start_byte,end_byte,intro_lines,intro_chars,intro_bytes,chapter_txt,chapter_verses,chapter_intro
1,9,3140,7910,0,7910,138,2503,6091,chapter_001.txt,chapter_001_verses.jsonl,chapter_001_intro.txt
2,3,243,695,7911,8606,7,98,280,chapter_002.txt,chapter_002_verses.jsonl,chapter_002_intro.txt
3,1,119,341,8607,8948,0,0,0,chapter_003.txt,chapter_003_verses.jsonl,
4,1,130,372,8949,9321,9,130,372,chapter_004.txt,chapter_004_verses.jsonl,chapter_004_intro.txt
5,9,728,2070,9322,11392,0,0,0,chapter_005.txt,chapter_005_verses.jsonl,
6,8,680,1818,11393,13211,0,0,0,chapter_006.txt,chapter_006_verses.jsonl,
7,6,302,862,13212,14074,7,103,295,chapter_007.txt,chapter_007_verses.jsonl,chapter_007_intro.txt
8,4,340,970,14075,15045,11,152,434,chapter_008.txt,chapter_008_verses.jsonl,chapter_008_intro.txt
9,11,770,2202,15046,17248,7,85,241,chapter_009.txt,chapter_009_verses.jsonl,chapter_009_intro.txt
10,22,1757,4937,17249,22186,0,0,0,chapter_010.txt,chapter_010_verses.jsonl,
11,2,122,348,22187,22535,0,0,0,chapter_011.txt,chapter_011_verses.jsonl,
12,6,415,1187,22536,23723,5,63,179,chapter_012.txt,chapter_012_verses.jsonl,chapter_012_intro.txt
13,10,706,2016,23724,25740,4,50,140,chapter_013.txt,chapter_013_verses.jsonl,chapter_013_intro.txt
14,24,1638,4672,25741,30413,9,142,408,chapter_014.txt,chapter_014_verses.jsonl,chapter_014_intro.txt
15,12,1024,2876,30414,33290,0,0,0,chapter_015.txt,chapter_015_verses.jsonl,
16,4,312,892,33291,34183,8,132,380,chapter_016.txt,chapter_016_verses.jsonl,chapter_016_intro.txt
17,8,445,1267,34184,35451,0,0,0,chapter_017.txt,chapter_017_verses.jsonl,
18,15,1044,2980,35452,38432,4,55,157,chapter_018.txt,chapter_018_verses.jsonl,chapter_018_intro.txt
19,3,227,647,38433,39080,0,0,0,chapter_019.txt,chapter_019_verses.jsonl,
20,7,293,839,39081,39920,0,0,0,chapter_020.txt,chapter_020_verses.jsonl,
21,10,717,2053,39921,41974,2,25,71,chapter_021.txt,chapter_021_verses.jsonl,chapter_021_intro.txt
22,14,1142,3266,41975,45241,4,65,187,chapter_022.txt,chapter_022_verses.jsonl,chapter_022_intro.txt
23,4,245,701,45242,45943,0,0,0,chapter_023.txt,chapter_023_verses.jsonl,
24,6,546,1562,45944,47506,0,0,0,chapter_024.txt,chapter_024_verses.jsonl,
25,7,625,1791,47507,49298,0,0,0,chapter_025.txt,chapter_025_verses.jsonl,
26,6,388,1094,49299,50393,0,0,0,chapter_026.txt,chapter_026_verses.jsonl,
27,5,407,1165,50394,51559,0,0,0,chapter_027.txt,chapter_027_verses.jsonl,
28,2,167,479,51560,52039,6,94,270,chapter_028.txt,chapter_028_verses.jsonl,chapter_028_intro.txt
29,2,100,288,52040,52328,0,0,0,chapter_029.txt,chapter_029_verses.jsonl,
30,2,165,473,52329,52802,0,0,0,chapter_030.txt,chapter_030_verses.jsonl,
31,3,150,428,52803,53231,4,56,160,chapter_031.txt,chapter_031_verses.jsonl,chapter_031_intro.txt
32,6,557,1597,53232,54829,0,0,0,chapter_032.txt,chapter_032_verses.jsonl,
33,4,335,953,54830,55783,0,0,0,chapter_033.txt,chapter_033_verses.jsonl,
34,3,227,649,55784,56433,0,0,0,chapter_034.txt,chapter_034_verses.jsonl,
35,1,90,258,56434,56692,6,90,258,chapter_035.txt,chapter_035_verses.jsonl,chapter_035_intro.txt
36,5,484,1384,56693,58077,0,0,0,chapter_036.txt,chapter_036_verses.jsonl,
37,5,368,1044,58078,59122,6,85,235,chapter_037.txt,chapter_037_verses.jsonl,chapter_037_intro.txt
38,6,491,1401,59123,60524,0,0,0,chapter_038.txt,chapter_038_verses.jsonl,
39,14,1178,3346,60525,63871,0,0,0,chapter_039.txt,chapter_039_verses.jsonl,
40,10,784,2242,63872,66114,5,72,206,chapter_040.txt,chapter_040_verses.jsonl,chapter_040_intro.txt
41,9,1013,2897,66115,69012,5,67,191,chapter_041.txt,chapter_041_verses.jsonl,chapter_041_intro.txt
42,3,179,511,69013,69524,0,0,0,chapter_042.txt,chapter_042_verses.jsonl,
43,4,312,888,69525,70413,0,0,0,chapter_043.txt,chapter_043_verses.jsonl,
44,1,63,177,70414,70591,5,63,177,chapter_044.txt,chapter_044_verses.jsonl,chapter_044_intro.txt
45,6,453,1293,70592,71885,0,0,0,chapter_045.txt,chapter_045_verses.jsonl,
46,8,863,2465,71886,74351,0,0,0,chapter_046.txt,chapter_046_verses.jsonl,
47,4,474,1354,74352,75706,0,0,0,chapter_047.txt,chapter_047_verses.jsonl,
48,10,923,2639,75707,78346,8,111,317,chapter_048.txt,chapter_048_verses.jsonl,chapter_048_intro.txt
49,4,307,879,78347,79226,0,0,0,chapter_049.txt,chapter_049_verses.jsonl,
50,5,329,941,79227,80168,0,0,0,chapter_050.txt,chapter_050_verses.jsonl,
51,5,339,971,80169,81140,0,0,0,chapter_051.txt,chapter_051_verses.jsonl,
52,9,722,2068,81141,83209,0,0,0,chapter_052.txt,chapter_052_verses.jsonl,
53,7,516,1480,83210,84690,7,104,298,chapter_053.txt,chapter_053_verses.jsonl,chapter_053_intro.txt
54,10,770,2206,84691,86897,0,0,0,chapter_054.txt,chapter_054_verses.jsonl,
55,4,417,1195,86898,88093,0,0,0,chapter_055.txt,chapter_055_verses.jsonl,
56,8,682,1958,88094,90052,0,0,0,chapter_056.txt,chapter_056_verses.jsonl,
57,3,240,688,90053,90741,0,0,0,chapter_057.txt,chapter_057_verses.jsonl,
