ወኅቡኣት፡​ዓዲ፡​ኢተከሥቱ፡​ለክሙ፡​ወምኑነ፡​ምሥጢረ፡​አእመርክሙ፡​ወዘንተ፡​ዜነውክሙ፡​ለአንስት፡​በጽንዓ፡​ልብክሙ፡​ወበዝንቱ፡​ምሥጢር፡​ያበዝኃ፡​አንስት፡​ወሰብእ፡​እኪተ፡​በዲበ፡​ምድድር።`**

    1.  `ወይእዜኒ` (wa-yəʾəzeni):
        *   Same as before. "And now...".

    2.  `አንትሙሰ` (ʾantəmu-ssa):
        *   Segmentation: `አንትሙ` (stem) + `-ሰ` (clitic).
        *   `-ሰ`: `CLIT.FOC`, emphatic/contrastive particle.
        *   `አንትሙ`:
            *   POS: `PRO.PERS`.
            *   Root: `null`.
            *   Lemma: `አንትሙ`.
            *   Features: `person: 2`, `gender: m`, `number: pl`.
            *   Gloss: "you (mpl)".
        *   Combined gloss: "But you / As for you".
        *   Confidence: Strong.

    3.  `በሰማይ` (ba
